,_c0,DATE,Themes,Organizations,V2Tone
0,0,20150302000000.0,EDUCATION;,special olympics;feilding high school;olympics,"0.561797752808988,2.80898876404494,2.24719101123596,5.0561797752809,27.8089887640449,0.280898876404494,321"
1,1,20150302000000.0,EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOLS;SOC_POINTSOFINTEREST_SCHOOL;TAX_FNCACT;TAX_FNCACT_DIRECTOR;,fraser institute,"1.03092783505155,1.03092783505155,0,1.03092783505155,34.020618556701,0,84"
2,2,20150302000000.0,ARREST;SOC_GENERALCRIME;TAX_FNCACT;TAX_FNCACT_MAN;SECURITY_SERVICES;TAX_FNCACT_POLICE;LEGISLATION;TAX_FNCACT_AUTHORITIES;SOC_SUSPICIOUSPEOPLE;,,"-6.54205607476635,0.934579439252336,7.47663551401869,8.41121495327103,19.6261682242991,0.934579439252336,95"
3,3,20150302000000.0,TRAFFIC;MANMADE_DISASTER_IMPLIED;SOC_TRAFFICACCIDENT;MEDIA_SOCIAL;PUBLIC_TRANSPORT;TAX_FNCACT;TAX_FNCACT_PRINCES;DELAY;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_LABOR_MP;GENERAL_GOVERNMENT;GOV_LOCALGOV;TAX_FNCACT_MINISTER;TAX_FNCACT_GOVERNMENT_MINISTER;EDUCATION;TAX_FNCACT_PROFESSORS;TAX_FNCACT_SPOKESMAN;NATURAL_DISASTER;NATURAL_DISASTER_FLOODED;,,"-2.46305418719212,2.46305418719212,4.92610837438424,7.38916256157635,21.1822660098522,0.985221674876847,184"
4,4,20150302000000.0,TAX_RELIGION;TAX_RELIGION_VOODOO;MEDIA_MSM;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENTS;TAX_FNCACT_PRESIDENT;TAX_ETHNICITY;TAX_ETHNICITY_WHITE;TAX_FNCACT_CORRESPONDENTS;TAX_FNCACT_POLITICIANS;,white house correspondents association;netflix;united states,"1.82072829131653,2.94117647058824,1.12044817927171,4.06162464985994,21.9887955182073,1.68067226890756,645"
5,5,20150302000000.0,ECON_INTEREST_RATES;TAX_FNCACT;TAX_FNCACT_DIRECTOR;TAX_FNCACT_RESEARCH_DIRECTOR;UNEMPLOYMENT;TAX_ETHNICITY;TAX_ETHNICITY_AUSTRALIAN;,australian bureau of statistics,"-3.48837209302326,0.581395348837209,4.06976744186047,4.65116279069767,24.4186046511628,0,177"
6,6,20150302000000.0,TAX_ETHNICITY;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;TAX_FNCACT;TAX_FNCACT_OFFICIAL;GENERAL_GOVERNMENT;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_DRILLS;,united states,"-2.75229357798165,0,2.75229357798165,2.75229357798165,16.5137614678899,0,88"
7,7,20150302000000.0,,fish department,"0.327868852459016,1.31147540983607,0.983606557377049,2.29508196721311,25.5737704918033,0,271"
8,8,20150302000000.0,GENERAL_GOVERNMENT;TAX_WORLDFISH;TAX_WORLDFISH_TOP;NATURAL_DISASTER;NATURAL_DISASTER_NATURAL_DISASTER;LEADER;TAX_FNCACT;TAX_FNCACT_MAYOR;NATURAL_DISASTER_CYCLONE;MANMADE_DISASTER_IMPLIED;ENV_MINING;TOURISM;SLFID_ECONOMIC_DEVELOPMENT;TAX_FNCACT_MINISTER;TAX_FNCACT_PRIME_MINISTER;TAX_FNCACT_MINISTERS;TAX_FNCACT_MAYORS;AFFECT;,,"-0.327868852459017,2.62295081967213,2.95081967213115,5.57377049180328,20.983606557377,1.31147540983607,282"
9,9,20150302000000.0,TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_LION;,sony,"0,1.04166666666667,1.04166666666667,2.08333333333333,17.7083333333333,0,89"
10,10,20150302000000.0,TAX_FNCACT;TAX_FNCACT_NOMINEE;KILL;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;TAX_FNCACT_OFFICIAL;TAX_FNCACT_DOCTOR;TAX_ETHNICITY;TAX_ETHNICITY_TURKISH;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_TURKISH;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;MOVEMENT_GENERAL;GENERAL_GOVERNMENT;TAX_ETHNICITY_KURDS;SOC_POINTSOFINTEREST_PRISON;LEADER;TAX_FNCACT_PRESIDENT;TAX_FNCACT_AUTHOR;TAX_FNCACT_MINISTER;MEDIA_SOCIAL;,twitter,"-2.12765957446809,5.1063829787234,7.23404255319149,12.3404255319149,18.2978723404255,0.425531914893617,216"
